,Name,ID,Location,name,webid,hlyRange,dlyRange,mlyRange,Hour
1,Barnwell AGDM,71346,South,BARNWELL AGDM,31408,2001-11-29/2013-07-10,2002-01-01/2013-07-10,2002-02-01/2007-11-01,
2,Beaverlodge RCS,71230,Peace ,BEAVERLODGE RCS,30669,2001-02-14/2013-07-10,2001-01-01/2013-07-10,2001-01-01/2007-11-01,
3,Brooks CDA,71457,South,BROOKS CDA,2180,NA,NA,NA,
4,Fort Macleod AGCM,46734,Central,FORT MACLEOD AGCM,46734,2008-01-09/2013-07-10,2007-09-01/2013-07-10,2007-09-01/2007-11-01,
5,Fort Vermilion,71024,Peace ,FORT VERMILION,30495,NA,NA,NA,
6,GRANDE PRAIRIE A,71940,Peace ,GRAND PRAIRIE A,51422,NA,NA,NA,
7,Halkirk AGCM,76787,Central,HALKIRK AGCM,46787,2008-01-09/2013-07-10,2007-09-01/2013-07-10,2007-09-01/2007-11-01,
8,Killam AGCM,71228,Central,KILLAM AGCM,32313,NA,NA,NA,
9,Lethbridge CDA,71243,South,LETHBRIDGE CDA,2265,1994-06-07/2013-07-10,1908-02-01/2013-07-10,1908-01-01/2007-11-01,
10,Lindbergh AGDM,71567,Northern,LINDBERGH AGDM,43560,2004-12-30/2013-07-10,2005-02-25/2013-07-10,2005-03-01/2007-11-01,
11,Medicine Hat RCS,71026,South,MEDICINE HAT RCS,30347,2001-01-12/2013-07-10,2000-08-01/2013-07-10,2000-08-01/2007-11-01,
12,Peace River A,52258,Peace ,PEACE RIVER A,2770,1955-01-03/2013-07-10,1944-01-01/2013-07-09,1944-01-01/2007-11-01,
13,Pincher Creek (AUT),27218,South,PINCHER CREEK (AUT),8791,1994-03-01/2012-01-25,1992-12-09/2011-06-30,2000-01-01/2007-11-01,
14,Prentiss,71353,Northern,PRENTISS,41784,2003-09-12/2013-07-10,2003-06-01/2013-07-10,2003-06-01/2007-11-01,
15,Raymond AGDM,71536,South,RAYMOND AGDM,42729,2004-06-16/2013-07-10,2004-06-01/2013-07-10,2004-06-01/2007-10-01,
16,Taber,2315,South,TABER,2315,N/A,1907-03-01/2013-07-02,1907-01-01/2007-11-01,Monthly
17,Valleyview AGDM,71277,Peace ,VALLEYVIEW AGDM,32460,1998-03-30/2013-07-10,2002-11-01/2013-07-10,2002-12-01/2007-11-01,
18,Violet Grove CS,71062,Northern,VIOLET GROVE CS,30643,2000-11-10/2013-07-10,2000-11-28/2013-07-10,2000-12-01/2007-11-01,
19,Vegreville,71458,Northern,VEGREVILLE,1977,1994-02-01/2013-07-10,1980-11-01/2013-07-10,1980-01-01/2007-11-01,
20,Whitecourt,71256,Northern,WHITECOURT,27658,1999-01-25/2013-07-10,1998-11-01/2013-07-10,1999-05-01/2007-10-01,
